name,pos,ang,sca
Tent.X,372.7338/62/-1265.085,270/15.89099/0,0.9999999/1/1
Well.X,367.07/62/-1264.78,270/0/0,1/1/1
Food_A.X,373.61/62/-1270.57,270/36.2347/0,1/1/1
Building_A.X,396.28/62/-1278.61,270/200.1897/0,1.000001/1/1.000001
Building_B.X,364.41/62/-1270.35,270/91.35728/0,1/1/1.000001
Building_B.X,401.47/62/-1313.74,270/0/0,1/1.000001/1.000001
fence_a.X,415.88/63.73/-1272.48,0/110/90,1.000001/1/1.000001
fence_a.X,358.4/64/-1326.5,1.460822/90.63157/89.63942,1.000001/1/1.000001
fence_a.X,355.3/64.1/-1326.4,1.460822/90.63157/89.63942,1.000001/1/1.000001
fence_a.X,352.4/64.2/-1326.4,1.460822/90.63157/89.63942,1.000001/1/1.000001
fence_a.X,351.58/63.21/-1297.89,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.48/63.21/-1300.59,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.68/63.21/-1294.79,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.68/63.31/-1291.89,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.88/63.11/-1315.29,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.88/63.11/-1318.19,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.68/63.11/-1323.99,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.78/63.21/-1321.29,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.18/63.11/-1309.59,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.98/63.21/-1312.39,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.28/63.21/-1306.49,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.38/63.21/-1303.69,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,352.99/63.46/-1256.9,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.89/63.46/-1259.7,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.59/63.46/-1265.6,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.79/63.36/-1262.8,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,353.09/63.46/-1253.8,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,353.19/63.46/-1251.1,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,357.92/63.73/-1251.4,0/110/90,1.000001/1/1.000001
fence_a.X,360.77/63.73/-1252.44,0/110/90,1.000001/1/1.000001
fence_a.X,355.05/63.73/-1250.35,0/110/90,1.000001/1/1.000001
Well.X,387.1/62/-1296.03,270/0/0,1/1/1
fence_a.X,418.64/63.73/-1273.48,0/110/90,1.000001/1/1.000001
fence_a.X,419.46/63.73/-1275.34,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.79/63.73/-1278.18,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.12/63.73/-1281.04,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,417.47/63.73/-1283.79,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.96/63.73/-1285.29,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,399.11/63.03/-1326.83,1.000003/90/90,1/1/1
fence_a.X,414.56/63.73/-1320.27,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,413.29/63.73/-1321.48,-1.280661E-06/357.8711/90.00002,1/1/1
fence_a.X,413.4/63.73/-1324.42,-1.280661E-06/357.8711/90.00002,1.000001/1.000001/1
fence_a.X,402.05/62.98/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,405.01/62.93/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,407.89/62.88/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,410.85/62.83/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
