name,pos,ang,sca,coll
1st_ie.X,-374.86/59.62/-69.67,0.000000/0.000000/0.000000/1.000000,0.4/0.4/0.4,0,0
coll,0.1000214/-0.7250023/-0.374999,0.000000/0.000000/0.000000/1.000000,3.5/3.5/3.5,1,1
1st_ie.X,-404.258/60.75/-71.21133,0.000000/-0.697852/0.000000/0.716242,0.3999998/0.4/0.3999998,0,0
coll,0.1000214/-0.7250023/-0.374999,0.000000/0.000000/0.000000/1.000000,3.499999/3.5/3.499999,1,1
1st_ie.X,-404.437/61.56/-76.28415,0.000000/-0.697852/0.000000/0.716242,0.3999998/0.4/0.3999998,0,0
coll,0.1000214/-0.7250023/-0.374999,0.000000/0.000000/0.000000/1.000000,3.499999/3.5/3.499999,1,1
1st_ie.X,-404.52/61.56/-81.23,0.000000/-0.697852/0.000000/0.716242,0.3999998/0.4/0.3999998,0,0
coll,0.1000214/-0.7250023/-0.374999,0.000000/0.000000/0.000000/1.000000,3.499999/3.5/3.499999,1,1
1st_ie.X,-391.64/60.19/-58.5,0.000000/0.039557/0.000000/0.999217,0.4000001/0.4/0.4000001,0,0
coll,0.1000214/-0.7250023/-0.374999,0.000000/0.000000/0.000000/1.000000,3.500001/3.5/3.500001,1,1
1st_saku.X,-380.99/62.28/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-389.44/62.93/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-401.99/62.61/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/61.41/-54.23,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-372.6/60.72/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-410.32/62.56/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/59.8/-80.02,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
